Location ,State,"Population (US Census, 2011)",Ownership?,Open Data Law?,Link ,Type
Tulsa, OK, 14741, Government, Yes, https://www.cityoftulsa.org/our-city/open-tulsa/open-tulsa-dataset-list.aspx,US City or County
Champaign, IL,39795,Government,No,https://data.illinois.gov/champaign,US City or County
Alabama,AL,4802740,Government ,No,http://open.alabama.gov/,US State
Scottsdale,AZ,221020,Government,No,http://data.scottsdaleaz.gov/,US City or County
Arizona,AZ,6482505,Government,No,http://openbooks.az.gov/app/transparency/index.html,US State
Santa Cruz,CA,60342,Government,No,http://data.cityofsantacruz.com,US City or County  
Palo Alto,CA,64408,Government,No,http://data.cityofpaloalto.org/,US City or County
Oakland,CA,389397,Government,Yes,http://data.oaklandnet.com,US City or County 
Oakland,CA,389397,Community ,Yes,http://data.openoakland.org/,US City or County 
San Francisco ,CA,797983,Government,Yes,http://data.sfgov.org,US City or County
San Diego ,CA,1307402,Community ,in progress,http://catalog.opensandiego.org/,US City or County
Los Angeles [Controller],CA,3819702,Government,No,https://controllerdata.lacity.org/,US City or County
California,CA,37691912,Government,No,http://data.ca.gov/,US State
Gilpin County,CO,5467,Community ,No,http://data.opencolorado.org/group/gilpin-county,US City or County
Arvada,CO,83433,Government,No,http://arvada.org/opendata/,US City or County
Denver,CO,600024,Government,No,http://data.denvergov.org,US City or County  
Denver Regional Council,CO,3157520,Community ,No,http://data.opencolorado.org/group/drcog,Other State Related
Colorado [Open Colorado],CO,5116796,Community ,No,http://data.opencolorado.org,US State
Colorado,CO,5116796,Government,No,http://data.colorado.gov,US State
Connecticut,CT,3580709,Government ,No,http://transparency.ct.gov/html/main.asp,US State
"Washington, D.C. [Open Data DC]",DC,797983,Community ,No,http://www.opendatadc.org/,US District 
"Washington, D.C.",DC,797983,Government,No,http://data.dc.gov/,US District 
Delaware,DL,907135,Government,No,http://www.delaware.gov/data/,US State
Wellington,FL,57163,Government,No,https://data.wellingtonfl.gov/,US City or County
Florida,FL,19057542,Government ,No,http://www.floridahasarighttoknow.com/,US State
Atlanta,GA,419250,Government,No,http://gis.atlantaga.gov/,US City or County
Georgia,GA,9815210,Government,No,http://www.open.georgia.gov/,US State
Honolulu,HI,944287,Government,Yes,https://data.honolulu.gov/,US City or County
Hawaii ,HI,1374810,Government,Yes,http://data.hawaii.gov,US State
Hawaii GIS,HI,1374810,Government,Yes,http://gis.hicentral.com/,Other State Related
Hawaii Open Data,HI,1374810,Community ,Yes,http://hawaiiopendata.com/,US State
Iowa,IA,3062309,Government,No,http://data.iowa.gov/,US State
Belleville,IL ,3951,Government,No,https://data.illinois.gov/belleville,US City or County
Rockford,IL ,152222,Government,No,https://data.illinois.gov/rockford,US City or County
Chicago ,IL ,2707120,Govermnet ,Yes,http://data.cityofchicago.org,US City or County  
Cook County ,IL ,5217080,Government ,Yes,http://cookcounty.socrata.com,US City or County 
Chicago [Metro],IL ,9729825,Government ,No,http://www.metrochicagodata.org,US City or County
Illinois ,IL ,12869257,Government,in progress,http://data.illinois.gov,US City or County 
Illinois South Suburban Mayors and Managers,IL ,12869257,Government,in progress,https://data.illinois.gov/ssmma,Other State Related
South Bend,IN,101000,Government,Yes,https://data.southbendin.gov/,US City or County
Indiana,IN,6516922,Government ,No,http://inmap.indiana.edu/viewer.htm,US State
Kansas,KS,2871238,Government,No,http://www.kansas.gov/KanView/,US State
Lexington,KY,457551,Government,Yes,http://data.lexingtonky.gov/,US City or County
Louisville,KY,592529,Government,Yes,http://portal.louisvilleky.gov/service/data,US City or County
Kentucky [Open Door],KY,4369356,Government,No,http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,US State
New Orleans,LA,321409,Government,No,http://data.nola.gov,US City or County 
Louisiana,LA,4574836,Government,No,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,US State
Somerville,MA,76519,Government,No,http://data.somervillema.gov,US City or County
Cambridge GIS,MA,105162,Government,No,http://cambridgegis.github.io/gisdata.html,US City or County
Boston,MA,609942,Government,No,https://data.cityofboston.gov/,US City or County
Boston GIS Data Hub,MA,609942,Government,No,https://data.cityofboston.gov/,US City or County
Massachusetts,MA,6587536,Government,No,http://www.mass.gov/data/,US State
Montgomery County,MD,455761,Government,Yes,https://data.montgomerycountymd.gov/,US City or County
Baltimore ,MD,620210,Government,No,http://data.baltimorecity.gov,US City or County  
Maryland,MD,3792647,Government,No,http://data.maryland.gov,US State
Maine,ME,462257,Government,No,http://www.maine.gov/data/,US State
Ann Arbor,MI,114925,Government,No,http://www.a2gov.org/data/,US City or County
Michigan,MI,9876187,Government,No,http://www.michigan.gov/data/,US State
Minnesota,MN,5344861,Government,No,http://www.state.mn.us/opendata/,US State
Kansas City,MO,457551,Community ,No,https://data.kcmo.org/,US City or County
Missouri,MS,6010688,Government,No,http://data.mo.gov,US State 
Missouri [Accountability Portal],MS,6010688,Government,No,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Other State Related
Nebraska,NB,1842641,Government,in progress,http://www.nebraska.gov/data/,US State
Asheville,NC,84458,Government,No,http://opendatacatalog.ashevillenc.gov/,US City or County
Raleigh ,NC,395091,Government,Yes,http://data.raleighnc.gov,US City or County
Wake County,NC,929780,Government,No,http://www.wakegov.com/data/Pages/default.aspx,US City or County
North Carolina [OpenBook],NC,9656401,Government,No,http://www.ncopenbook.gov/NCOpenBook/,US City or County
North Dakota GIS Hub,ND,683932,Government,No,http://www.nd.gov/gis/,Other State Related
New Hampshire,NH,1318194,Community ,Yes,http://nhopengov.org/,US State
Newark,NJ ,277540,Goverment,No,http://newarknj.patch.com/groups/politics-and-elections/p/city-of-newark-rolls-out-test-version-of-new-web-site,US City
New Jersey [Transparency Portal],NJ,8791909,Government,Yes,http://yourmoney.nj.gov/,US State
New Jersey [GIS Clearinghouse],NJ,8791909,Government,Yes,http://njgin.state.nj.us/,US State
New Jersey [Newspaper Transparency Project],NJ,8791909,Private,Yes,http://datauniverse.com/,US State
Albuquerque,NM,539000,Government,No,http://www.cabq.gov/abq-data/,US City or County
New Mexico,NM,2082224,Government,No,http://www.sunshineportalnm.com/,US State
New York City,NY,8244910,Government,Yes,http://www.opendatanyc.com,US City or County
New York,NY,19465197,Government,Yes,https://data.ny.gov/,US State
New York [Health Data] ,NY,19465197,Government,Yes,http://health.data.ny.gov,Other State Related
New York [State Data Center],NY,19465197,Government,Yes,http://esd.ny.gov/NYSDataCenter.html,Other State Related
New York [Department of Health],NY,19465197,Government,Yes,https://health.data.ny.gov/,Other State Related
New York [State Senate],NY,19465197,Government,Yes,http://www.nysenate.gov/opendata/,Other State Related
Cincinnati ,OH,296223,Community ,No,http://www.opendatacincy.org/,US City or County
Ohio,OH,11544951,Government ,in progress,http://www.sos.state.oh.us/betterLives.aspx,US State
Oklahoma,OK,3791508,Government,No,http://www.ok.gov/about/data.html,US State
Portland,OR,583778,Community ,Yes,http://civicapps.org/datasets/,US City or County
Oregon,OR,3871859,Government,No,http://data.oregon.gov,US State
Philadelphia,PA,1514456,Community ,Yes,http://www.opendataphilly.org/,US State
Pennsylvania [Geodata],PA,12702379,University ,No,http://www.pasda.psu.edu/uci/SearchResults.aspx?shortcutKeyword=base&searchType=shortcut&sessionID=50734710420131023181913,US State
Providence,RI,583778,Government,Yes,https://data.providenceri.gov/,US City or County
Rhode Island,RI,1051302,Government,No,http://www.ri.gov/data/,US State
South Dakota,SD,824082,Government,No,http://open.sd.gov/,US State
Tennessee,TN,6403353,Government,No,http://www.tn.gov/opengov/,US State
De Leon,TX,2233,Government ,No,http://deleon.socrata.com,US City or County
Weatherford,TX,25557,Government,Yes,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,US City or County
Austin,TX,820611,Government,Yes,http://data.austintexas.gov,US City or County  
Houston ,TX,2089090,Government ,No,http://data.codeforhouston.com,US City or County  
Texas,TX,25674681,Government,No,http://www.texas.gov/en/Connect/Pages/open-data.aspx,US State
Texas [Comptroller Transparency],TX,25674681,Government,No,http://www.texastransparency.org/opendata/index.php,Other State Related
Salt Lake City,UT,186443,Government,No,http://data.slcgov.com,US City or County
Utah ,UT,2817222,Government,Yes,http://www.utah.gov/data/,US State
Virginia ,VA,8096604,Government,No,http://data.openva.com,US State
Virginia Data Point,VA,8096604,Government,No,http://datapoint.apa.virginia.gov/,US State
Redmond,WA,26646,Government,No,http://data.redmond.gov,US City or County
Seattle ,WA,620778,Government,No,http://data.seattle.gov,US City or County
Snohomish County ,WA,722400,Government,No,http://data.snostat.org,US City or County
San Mateo County Open Checkbook,WA,727209,Government,No,https://data.smcgov.org/,US City or County
King County ,WA,1969722,Government,No,http://data.kingcounty.gov,US City or County 
King County Election Data ,WA,1969722,Government,No,http://electionsdata.kingcounty.gov,Other County Related
Washington,WA,6830038,Government,No,http://data.wa.gov,US State
Madison,WI ,236901,Government,Yes,http://data.cityofmadison.com,US City or County  
Gainesville,FL ,125326,Government,No,https://data.cityofgainesville.org/,US City or County 
Charleston,SC,125583,Government,No,http://gis.charleston-sc.gov/dataportal/,US City or County
South Carolina,SC,4723723,Government,No,http://www.gis.sc.gov/data.html,US State
Virginia Beach,VA,447021,Public,No,http://data.codeforhamptonroads.org/organization/city-of-virginia-beach,US City or County
Norfolk, VA,245782,Public,No,http://data.codeforhamptonroads.org/organization/city-of-norfolk,US City or County
Williamsburg,VA,15167,Government,Yes,http://www.williamsburgva.gov/Index.aspx?page=793,US City or County
Richmond,VA,210309,Government,No,ftp://ftp.ci.richmond.va.us/GIS/Shapefiles/,US City or County
Charlottesville,VA,43956,Government,No,http://www.charlottesville.org/Index.aspx?page=1674,US City or County
Lynchburg,VA,77113,Government,No,http://mapviewer.lynchburgva.gov/downloads/default.aspx,US City or County
