US OPEN DATA POLICY COMPARISON ,"Washington, D.C.","Portland, OR","Memphis, TN","San Francisco, CA","Cook County, IL","Lexington-Fayette County, KY","Austin, TX","Raleigh, NC","New York City, NY","Providence, RI","Philadelphia, PA","Montgomery County, MD","Chicago, IL","Madison, WI",Utah,New York,Hawaii,"Tulsa, OK",New Hampshire,"South Bend, IN","Louisville/Jefferson County metro government, KY ","Oakland, CA","West Sacremento, CA"
BASICS,,,,,,,,,,,,,,,,,,,,,,,
Type,US City,US City,US City,US City/County,US County,US City/County,US City ,US City,US City,US City ,US City ,US County,US City,US City,US State,US State ,US State,US City,US State,US City,US County,US City,US City 
Link,http://www.scribd.com/fullscreen/26442622?access_key=key-20rfsh26eu0ob66xlbmu,http://www.portlandonline.com/shared/cfm/image.cfm?id=275696,http://www.memphistn.gov/portals/0/pdf_forms/MayorsTransparencyExecutiveOrder.pdf,http://sfbos.org/ftp/uploadedfiles/bdsupvrs/committees/materials/gao_032813_121017.pdf,http://news.rapgenius.com/Cook-county-cook-county-open-government-ordinance-lyrics,http://www.lexingtonky.gov/Modules/ShowDocument.aspx?documentid=16343,http://www.ci.austin.tx.us/edims/document.cfm?id=161941,http://www.documentcloud.org/documents/286685-open-source-resolution.html,http://nycopendata.pediacities.com/wiki/index.php/Local_Law_11_of_2012,http://www.gcpvd.org/2012/03/19/open-providence-commission-for-transparency-and-accountability-meeting-today-march-19/,https://gist.github.com/PhillyCDO/3623582,http://www6.montgomerycountymd.gov/content/council/pdf/agenda/cm/2012/121126/20121126_GO2.pdf,http://www.cityofchicago.org/city/en/narr/foia/open_data_executiveorder.html,http://madison.legistar.com/ViewReport.ashx?M=R&N=Text&GID=205&ID=1201083&GUID=2EC21911-798D-4499-BFAF-96BDACBCD8C7&Title=Legislation+Text,http://le.utah.gov/~2013/bills/sbillenr/SB0283.pdf,http://www.governor.ny.gov/executiveorder/95,http://www.capitol.hawaii.gov/session2013/bills/HB632_CD1_.htm,http://opentulsa.org/wp-content/uploads/2013/04/bd55b02c-59cd-46bb-8591-03642d5fde05.pdf,http://www.nhliberty.org/bills/view/2013/HB155,https://gist.github.com/rebeccawilliams/6311204,http://www.louisvilleky.gov/NR/rdonlyres/9E90910B-2D16-4F00-87B4-F5476BBEA792/0/opendata.pdf,http://www.scribd.com/doc/171673962/Resolution-Establishing-An-Open-Data-Policy-For-The-City-Of-Oakland-For-Making-Public-Data-Available-In-Machine-Readable-Formats-Using-Open-Data-Stand,http://www.cityofwestsacramento.org/civica/filebank/blobdload.asp?BlobID=9779
Legal Means,City Administrator Memo,Legislation,Executive Order,Legislation,Legislation,Legislation ,Legislation,Legislation,Legislation,Legislation [plan for a plan],Executive Order ,Legislation,Executive Order ,Legislation,Legislation,Executive Order,Legislation ,Legislation,Legislation ,Executive Order,Executive Order,Legislation,Legislation 
Year Enacted,2006,2009,2009,"2009, 2010, 2013",2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013
Date Enacted,06/12/2006,09/30/2009,10/17/2009,3/28/2013 [newest],5/2011,06/07/2011,12/19/2011,01/24/2012,2/29/2012,org. 3/19/2012 extened to 6/2012 http://www.providenceri.com/efile/2754,04/26/2012,10/24/2012,12/11/2012,7/19/2013,03/12/2013,03/11/2013,07/01/2013,02/05/2013,05/29/2013,08/22/2013,10/11/2013,10/15/2013,10/16/2013
Prior Versions?,n/a,n/a,n/a,2010: http://www.sfbos.org/ftp/uploadedfiles/bdsupvrs/bosagendas/materials/bag110910_101155.pdf 2009: http://sfmayor.org/ftp/archive/209.126.225.7/executive-directive-09-06-open-data/index.html,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2012: http://www.gencourt.state.nh.us/legislation/2012/HB0418.html,n/a,n/a,n/a,n/a
Population (ACS 2012; US Census 2012 est for counties),632323,603650,655141,825863,5231351,305489,842595,423743,8336697,628323,1547607,1004709,2714844,240315,2855287,19570261,1392313,394098,1320718,100003,605108,400740,48539
Guidance / Supplement ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,http://nycopendata.pediacities.com/wiki/index.php/City_Policies (see whole wiki),Final Report from Transparency Commission: http://www.providenceri.com/efile/4134,https://docs.google.com/document/d/1Kd4AOoRG8q18PVZ0JMusgKWJmgjrWvv3iTdKUjLEdT4/edit#heading=h.f0bier759jvk,n/a,n/a,n/a,n/a,http://nys-its.github.io/open-data-handbook/,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Implementation Authority,DCStat,Bureau of Technology Services,n/a,Chief Data Officer (CDO) and Department Data Coordinators (DC) / Committee on Information Technology (COIT),,Lexington-Fayette Urban County Government as a whole,City Manager and Community Technology and Telecommunications Commission,n/a,Department of Information Technology and Telecommunications,"n/a - This resolution was about creating a research body called the ""Accountability and Transparency Cmomission."" ",The Data Governance Advisory Board,The Chief Administrative Officer is in charge.  ,The Chief Information Officer and Chief Data Officer are put in charge. ,Its puts the Information Technology Department in charge. ,n/a,The Chief Technology Officer and Chief Data Officer within the New York State Office of Information Technology Services,The Chief Information Officer in consultation with the Office of Information Practices is in charge. ,"It establishes an unnamed ""committee of City employees and local volunteers to aide in the achievement of above goals.""",The Department of Information Technology and Department of Administration along with the Commissioner (who will assist agencies) are in charge. ,Open Data Management Team—Division of Information Technologies (with appoting Data Coordinators at each agency),Open Data Management Team (with agency Data Coordinators appointed by the CIO) ,,
