Location ,State,"Population (US Census est 2011)",Ownership?,Open Data Law?,Link ,Type 
De Leon,TX,2233,Government ,No,http://deleon.socrata.com,US City or County
Belleville,IL ,3951,Government,No,https://data.illinois.gov/belleville,US City or County
Gilpin County,CO,5467,Community ,No,http://data.opencolorado.org/group/gilpin-county,US City or County
Weatherford,TX,25557,Government,Yes,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,US City or County
Redmond,WA,26646,Government,No,http://data.redmond.gov,US City or County
Champaign, IL,39795,Government,No,https://data.illinois.gov/champaign,US City or County
Wellington,FL,57163,Government,No,https://data.wellingtonfl.gov/,US City or County
Santa Cruz,CA,60342,Government,No,http://data.cityofsantacruz.com,US City or County  
Palo Alto,CA,64408,Government,No,http://data.cityofpaloalto.org/,US City or County
Somerville,MA,76519,Government,No,http://data.somervillema.gov,US City or County
Arvada,CO,83433,Government,No,http://arvada.org/opendata/,US City or County
Asheville,NC,84458,Government,No,http://opendatacatalog.ashevillenc.gov/,US City or County
South Bend,IN,101000,Government,Yes,https://data.southbendin.gov/,US City or County
Cambridge GIS,MA,105162,Government,No,http://cambridgegis.github.io/gisdata.html,US City or County
Ann Arbor,MI,114925,Government,No,http://www.a2gov.org/data/,US City or County
Rockford,IL ,152222,Government,No,https://data.illinois.gov/rockford,US City or County
Salt Lake City,UT,186443,Government,No,http://data.slcgov.com,US City or County
Scottsdale,AZ,221020,Government,No,http://data.scottsdaleaz.gov/,US City or County
Madison,WI ,236901,Government,Yes,http://data.cityofmadison.com,US City or County  
Cincinnati ,OH,296223,Community ,No,http://www.opendatacincy.org/,US City or County
New Orleans,LA,321409,Government,No,http://data.nola.gov,US City or County 
Oakland,CA,389397,Government,Yes,http://data.oaklandnet.com,US City or County 
Oakland,CA,389397,Community ,Yes,http://data.openoakland.org/,US City or County 
Raleigh ,NC,395091,Government,Yes,http://data.raleighnc.gov,US City or County
Atlanta,GA,419250,Government,No,http://gis.atlantaga.gov/,US City or County
Montgomery County,MD,455761,Government,Yes,https://data.montgomerycountymd.gov/,US City or County
Kansas City,MO,457551,Community ,No,https://data.kcmo.org/,US City or County
Lexington,KY,457551,Government,Yes,http://data.lexingtonky.gov/,US City or County
Maine,ME,462257,Government,No,http://www.maine.gov/data/,US State
Albuquerque,NM,539000,Government,No,http://www.cabq.gov/abq-data/,US City or County
Portland,OR,583778,Community ,Yes,http://civicapps.org/datasets/,US City or County
Providence,RI,583778,Government,Yes,https://data.providenceri.gov/,US City or County
Louisville,KY,592529,Government,Yes,http://portal.louisvilleky.gov/service/data,US City or County
Denver,CO,600024,Government,No,http://data.denvergov.org,US City or County  
